Class 1 (Closest class: 5)
Radius	k1	k2	Reliability	Beta Error	Jm	Optimal
--------------------------------------------------------------------------------
    1	   0	   0	0,000	0,000	0,000	False
    2	   1	   0	0,001	0,000	0,000	False
    3	   1	   0	0,001	0,000	0,000	False
    4	   5	   0	0,003	0,000	0,000	False
    5	  12	   0	0,007	0,000	0,000	False
    6	  26	   0	0,016	0,000	0,001	False
    7	  48	   0	0,030	0,000	0,003	False
    8	  79	   0	0,049	0,000	0,007	False
    9	 120	   0	0,075	0,000	0,016	False
   10	 172	   0	0,107	0,000	0,033	False
   11	 234	   0	0,146	0,000	0,062	False
   12	 311	   0	0,194	0,000	0,110	False
   13	 381	   0	0,238	0,000	0,167	False
   14	 464	   0	0,290	0,000	0,250	False
   15	 520	   0	0,325	0,000	0,316	False
   16	 588	   0	0,367	0,000	0,408	False
   17	 647	   0	0,404	0,000	0,500	False
   18	 709	   0	0,443	0,000	0,608	False
   19	 762	   0	0,476	0,000	0,711	False
   20	 816	   0	0,510	0,000	0,827	True
   21	 874	   0	0,546	0,000	0,965	True
   22	 910	   0	0,569	0,000	1,058	True
   23	 958	   0	0,599	0,000	1,193	True
   24	1005	   0	0,628	0,000	1,336	True
   25	1036	   0	0,647	0,000	1,438	True
   26	1061	   0	0,663	0,000	1,525	True
   27	1092	   0	0,682	0,000	1,639	True
   28	1120	   0	0,700	0,000	1,749	True
   29	1147	   0	0,717	0,000	1,861	True
   30	1161	   0	0,726	0,000	1,922	True
   31	1184	   0	0,740	0,000	2,026	True
   32	1204	   0	0,752	0,000	2,121	True
   33	1222	   0	0,764	0,000	2,211	True
   34	1240	   0	0,775	0,000	2,305	True
   35	1253	   0	0,783	0,000	2,376	True
   36	1268	   0	0,792	0,000	2,460	True
   37	1280	   0	0,800	0,000	2,531	True
   38	1287	   0	0,804	0,000	2,573	True
   39	1298	   0	0,811	0,000	2,641	True
   40	1306	   0	0,816	0,000	2,692	True
   41	1317	   0	0,823	0,000	2,764	True
   42	1322	   0	0,826	0,000	2,798	True
   43	1329	   0	0,831	0,000	2,846	True
   44	1335	   0	0,834	0,000	2,888	True
   45	1340	   0	0,838	0,000	2,924	True
   46	1346	   0	0,841	0,000	2,968	True
   47	1353	   0	0,846	0,000	3,020	True
   48	1362	   0	0,851	0,000	3,089	True
   49	1368	   0	0,855	0,000	3,136	True
   50	1371	   0	0,857	0,000	3,160	True
   51	1378	   0	0,861	0,000	3,218	True
   52	1381	   0	0,863	0,000	3,243	True
   53	1387	   0	0,867	0,000	3,294	True
   54	1391	   0	0,869	0,000	3,329	True
   55	1396	   0	0,873	0,000	3,373	True
   56	1400	   0	0,875	0,000	3,409	True
   57	1404	   0	0,877	0,000	3,446	True
   58	1411	   0	0,882	0,000	3,512	True
   59	1416	   0	0,885	0,000	3,560	True
   60	1419	   0	0,887	0,000	3,590	True
   61	1421	   0	0,888	0,000	3,610	True
   62	1423	   0	0,889	0,000	3,630	True
   63	1428	   0	0,892	0,000	3,682	True
   64	1430	   0	0,894	0,000	3,703	True
   65	1435	   0	0,897	0,000	3,756	True
   66	1442	   0	0,901	0,000	3,833	True
   67	1448	   0	0,905	0,000	3,902	True
   68	1450	   0	0,906	0,000	3,925	True
   69	1453	   0	0,908	0,000	3,961	True
   70	1455	   0	0,909	0,000	3,985	True
   71	1458	   0	0,911	0,000	4,022	True
   72	1458	   0	0,911	0,000	4,022	True
   73	1460	   0	0,912	0,000	4,046	True
   74	1461	   0	0,913	0,000	4,059	True
   75	1464	   0	0,915	0,000	4,097	True
   76	1465	   0	0,916	0,000	4,110	True
   77	1466	   0	0,916	0,000	4,123	True
   78	1468	   0	0,917	0,000	4,149	True
   79	1476	   0	0,922	0,000	4,257	True
   80	1478	   0	0,924	0,000	4,285	True
   81	1483	   0	0,927	0,000	4,357	True
   82	1488	   0	0,930	0,000	4,432	True
   83	1489	   0	0,931	0,000	4,447	True
   84	1493	   0	0,933	0,000	4,509	True
   85	1493	   0	0,933	0,000	4,509	True
   86	1496	   0	0,935	0,000	4,558	True
   87	1498	   0	0,936	0,000	4,590	True
   88	1501	   0	0,938	0,000	4,641	True
   89	1506	   0	0,941	0,000	4,728	True
   90	1508	   0	0,943	0,000	4,763	True
   91	1513	   0	0,946	0,000	4,856	True
   92	1513	   0	0,946	0,000	4,856	True
   93	1514	   0	0,946	0,000	4,875	True
   94	1516	   0	0,948	0,000	4,914	True
   95	1516	   0	0,948	0,000	4,914	True
   96	1517	   0	0,948	0,000	4,934	True
   97	1518	   0	0,949	0,000	4,954	True
   98	1518	   0	0,949	0,000	4,954	True
   99	1519	   0	0,949	0,000	4,974	True
  100	1520	   0	0,950	0,000	4,995	True
  101	1524	   0	0,953	0,000	5,079	True
  102	1525	   0	0,953	0,000	5,100	True
  103	1526	   0	0,954	0,000	5,122	True
  104	1527	   0	0,954	0,000	5,144	True
  105	1528	   0	0,955	0,000	5,167	True
  106	1530	   0	0,956	0,000	5,212	True
  107	1533	   0	0,958	0,000	5,283	True
  108	1536	   0	0,960	0,000	5,357	True
  109	1537	   0	0,961	0,000	5,382	True
  110	1537	   0	0,961	0,000	5,382	True
  111	1537	   0	0,961	0,000	5,382	True
  112	1541	   0	0,963	0,000	5,486	True
  113	1541	   0	0,963	0,000	5,486	True
  114	1541	   0	0,963	0,000	5,486	True
  115	1541	   0	0,963	0,000	5,486	True
  116	1542	   0	0,964	0,000	5,514	True
  117	1542	   0	0,964	0,000	5,514	True
  118	1544	   0	0,965	0,000	5,569	True
  119	1544	   0	0,965	0,000	5,569	True
  120	1545	   0	0,966	0,000	5,598	True
  121	1546	   0	0,966	0,000	5,626	True
  122	1547	   0	0,967	0,000	5,656	True
  123	1549	   0	0,968	0,000	5,716	True
  124	1549	   0	0,968	0,000	5,716	True
  125	1550	   0	0,969	0,000	5,747	True
  126	1554	   0	0,971	0,000	5,877	True
  127	1554	   0	0,971	0,000	5,877	True
  128	1557	   0	0,973	0,000	5,981	True
  129	1559	   0	0,974	0,000	6,054	True
  130	1560	   0	0,975	0,000	6,092	True
  131	1561	   0	0,976	0,000	6,130	True
  132	1563	   0	0,977	0,000	6,210	True
  133	1564	   0	0,978	0,000	6,252	True
  134	1568	   0	0,980	0,000	6,429	True
  135	1568	   0	0,980	0,000	6,429	True
  136	1570	   1	0,981	0,001	6,476	True
  137	1570	   1	0,981	0,001	6,476	True
  138	1572	   1	0,983	0,001	6,575	True
  139	1573	   1	0,983	0,001	6,626	True
  140	1575	   1	0,984	0,001	6,735	True
  141	1576	   1	0,985	0,001	6,792	True
  142	1577	   1	0,986	0,001	6,851	True
  143	1578	   1	0,986	0,001	6,913	True
  144	1581	   1	0,988	0,001	7,113	True
  145	1582	   1	0,989	0,001	7,185	True
  146	1584	   1	0,990	0,001	7,341	True
  147	1584	   1	0,990	0,001	7,341	True
  148	1584	   1	0,990	0,001	7,341	True
  149	1584	   2	0,990	0,001	7,261	True
  150	1585	   2	0,991	0,001	7,341	True
  151	1585	   2	0,991	0,001	7,341	True
  152	1585	   2	0,991	0,001	7,341	True
  153	1585	   2	0,991	0,001	7,341	True
  154	1585	   3	0,991	0,002	7,261	True
  155	1585	   3	0,991	0,002	7,261	True
  156	1587	   3	0,992	0,002	7,425	True
  157	1588	   3	0,993	0,002	7,514	True
  158	1588	   3	0,993	0,002	7,514	True
  159	1588	   4	0,993	0,003	7,425	True
  160	1589	   4	0,993	0,003	7,514	True
  161	1590	   5	0,994	0,003	7,514	True
  162	1590	   6	0,994	0,004	7,425	True
  163	1592	   6	0,995	0,004	7,608	True
  164	1592	   6	0,995	0,004	7,608	True
  165	1593	   7	0,996	0,004	7,608	True
  166	1594	   8	0,996	0,005	7,608	True
  167	1596	   8	0,998	0,005	7,815	True
  168	1596	   8	0,998	0,005	7,815	True
  169	1596	   9	0,998	0,006	7,708	True
  170	1596	   9	0,998	0,006	7,708	True
  171	1597	  11	0,998	0,007	7,608	True
  172	1597	  13	0,998	0,008	7,425	True
  173	1598	  14	0,999	0,009	7,425	True
  174	1598	  14	0,999	0,009	7,425	True
  175	1598	  16	0,999	0,010	7,261	True
  176	1598	  17	0,999	0,011	7,185	True
  177	1598	  19	0,999	0,012	7,043	True
  178	1598	  20	0,999	0,013	6,977	True
  179	1598	  23	0,999	0,014	6,792	True
  180	1600	  23	1,000	0,014	6,913	True
  181	1600	  27	1,000	0,017	6,680	True
  182	1600	  30	1,000	0,019	6,524	True
  183	1600	  33	1,000	0,021	6,383	True
  184	1600	  34	1,000	0,021	6,338	True
  185	1600	  38	1,000	0,024	6,170	True
  186	1600	  40	1,000	0,025	6,092	True
  187	1600	  43	1,000	0,027	5,981	True
  188	1600	  48	1,000	0,030	5,811	True
  189	1600	  56	1,000	0,035	5,569	True
  190	1600	  63	1,000	0,039	5,382	True
  191	1600	  68	1,000	0,043	5,259	True
  192	1600	  77	1,000	0,048	5,057	True
  193	1600	  79	1,000	0,049	5,015	True
  194	1600	  86	1,000	0,054	4,875	True
  195	1600	  91	1,000	0,057	4,782	True
  196	1600	  97	1,000	0,061	4,675	True
  197	1600	 102	1,000	0,064	4,590	True
  198	1600	 111	1,000	0,069	4,447	True
  199	1600	 116	1,000	0,072	4,372	True
  200	1600	 120	1,000	0,075	4,314	True
  201	1600	 126	1,000	0,079	4,230	True
  202	1600	 133	1,000	0,083	4,136	True
  203	1600	 140	1,000	0,087	4,046	True
  204	1600	 150	1,000	0,094	3,925	True
  205	1600	 159	1,000	0,099	3,822	True
  206	1600	 171	1,000	0,107	3,692	True
  207	1600	 186	1,000	0,116	3,541	True
  208	1600	 196	1,000	0,122	3,446	True
  209	1600	 213	1,000	0,133	3,294	True
  210	1600	 227	1,000	0,142	3,177	True
