Class 4 (Closest class: 0)
Radius	k1	k2	Reliability	Beta Error	Jm	Optimal
--------------------------------------------------------------------------------
    1	   3	   0	0,002	0,000	0,000	False
    2	  10	   0	0,006	0,000	0,000	False
    3	  20	   0	0,013	0,000	0,000	False
    4	  49	   0	0,031	0,000	0,003	False
    5	  80	   0	0,050	0,000	0,007	False
    6	 141	   0	0,088	0,000	0,022	False
    7	 191	   0	0,119	0,000	0,041	False
    8	 266	   0	0,166	0,000	0,080	False
    9	 351	   0	0,219	0,000	0,141	False
   10	 426	   0	0,266	0,000	0,209	False
   11	 507	   0	0,317	0,000	0,300	False
   12	 586	   1	0,366	0,001	0,404	False
   13	 672	   1	0,420	0,001	0,540	False
   14	 756	   1	0,472	0,001	0,697	False
   15	 833	   1	0,521	0,001	0,864	True
   16	 903	   1	0,564	0,001	1,037	True
   17	 963	   1	0,602	0,001	1,204	True
   18	1029	   1	0,643	0,001	1,411	True
   19	1073	   1	0,671	0,001	1,565	True
   20	1115	   1	0,697	0,001	1,725	True
   21	1155	   1	0,722	0,001	1,891	True
   22	1184	   1	0,740	0,001	2,021	True
   23	1217	   1	0,761	0,001	2,181	True
   24	1248	   1	0,780	0,001	2,343	True
   25	1267	   2	0,792	0,001	2,443	True
   26	1288	   3	0,805	0,002	2,561	True
   27	1308	   3	0,818	0,002	2,686	True
   28	1329	   3	0,831	0,002	2,825	True
   29	1347	   3	0,842	0,002	2,953	True
   30	1357	   3	0,848	0,002	3,027	True
   31	1367	   4	0,854	0,003	3,097	True
   32	1385	   4	0,866	0,003	3,243	True
   33	1402	   4	0,876	0,003	3,391	True
   34	1410	   5	0,881	0,003	3,455	True
   35	1419	   6	0,887	0,004	3,531	True
   36	1427	   6	0,892	0,004	3,610	True
   37	1436	   8	0,897	0,005	3,682	True
   38	1449	  10	0,906	0,006	3,800	True
   39	1455	  11	0,909	0,007	3,856	True
   40	1464	  12	0,915	0,007	3,949	True
   41	1471	  16	0,919	0,010	3,985	True
   42	1479	  20	0,924	0,013	4,034	True
   43	1489	  24	0,931	0,015	4,110	True
   44	1491	  28	0,932	0,018	4,084	True
   45	1493	  37	0,933	0,023	3,997	True
   46	1501	  46	0,938	0,029	3,985	True
   47	1504	  76	0,940	0,048	3,682	True
   48	1508	 110	0,943	0,069	3,391	True
   49	1511	 140	0,944	0,087	3,160	True
   50	1515	 197	0,947	0,123	2,771	True
   51	1516	 267	0,948	0,167	2,354	True
   52	1519	 341	0,949	0,213	1,998	True
   53	1521	 422	0,951	0,264	1,666	True
   54	1523	 516	0,952	0,323	1,343	True
   55	1524	 620	0,953	0,388	1,042	True
   56	1524	 741	0,953	0,463	0,755	True
   57	1525	 825	0,953	0,516	0,592	False
   58	1528	 903	0,955	0,564	0,464	False
   59	1529	 963	0,956	0,602	0,377	False
   60	1529	1019	0,956	0,637	0,303	False
   61	1532	1078	0,958	0,674	0,239	False
   62	1534	1150	0,959	0,719	0,169	False
   63	1538	1200	0,961	0,750	0,131	False
   64	1540	1235	0,963	0,772	0,106	False
   65	1541	1273	0,963	0,796	0,082	False
   66	1542	1309	0,964	0,818	0,062	False
   67	1543	1345	0,964	0,841	0,044	False
   68	1545	1377	0,966	0,861	0,032	False
   69	1546	1399	0,966	0,874	0,024	False
   70	1548	1419	0,968	0,887	0,019	False
   71	1550	1434	0,969	0,896	0,015	False
   72	1551	1454	0,969	0,909	0,011	False
   73	1552	1461	0,970	0,913	0,009	False
   74	1552	1469	0,970	0,918	0,008	False
   75	1552	1479	0,970	0,924	0,006	False
   76	1553	1484	0,971	0,927	0,005	False
   77	1553	1490	0,971	0,931	0,004	False
   78	1554	1497	0,971	0,936	0,004	False
   79	1554	1504	0,971	0,940	0,003	False
   80	1555	1514	0,972	0,946	0,002	False
   81	1556	1520	0,973	0,950	0,001	False
   82	1556	1528	0,973	0,955	0,001	False
   83	1557	1533	0,973	0,958	0,001	False
   84	1559	1541	0,974	0,963	0,000	False
   85	1561	1542	0,976	0,964	0,000	False
   86	1562	1543	0,976	0,964	0,000	False
   87	1564	1549	0,978	0,968	0,000	False
   88	1565	1554	0,978	0,971	0,000	False
   89	1566	1556	0,979	0,973	0,000	False
   90	1567	1557	0,979	0,973	0,000	False
   91	1569	1558	0,981	0,974	0,000	False
   92	1570	1560	0,981	0,975	0,000	False
   93	1571	1561	0,982	0,976	0,000	False
   94	1572	1564	0,983	0,978	0,000	False
   95	1572	1567	0,983	0,979	0,000	False
   96	1573	1567	0,983	0,979	0,000	False
   97	1573	1568	0,983	0,980	0,000	False
   98	1573	1570	0,983	0,981	0,000	False
   99	1573	1573	0,983	0,983	0,000	False
  100	1574	1574	0,984	0,984	0,000	False
  101	1574	1574	0,984	0,984	0,000	False
  102	1575	1575	0,984	0,984	0,000	False
  103	1575	1576	0,984	0,985	0,000	False
  104	1575	1578	0,984	0,986	0,000	False
  105	1579	1579	0,987	0,987	0,000	False
  106	1582	1581	0,989	0,988	0,000	False
  107	1582	1581	0,989	0,988	0,000	False
  108	1583	1581	0,989	0,988	0,000	False
  109	1584	1582	0,990	0,989	0,000	False
  110	1584	1582	0,990	0,989	0,000	False
  111	1584	1582	0,990	0,989	0,000	False
  112	1584	1583	0,990	0,989	0,000	False
  113	1584	1585	0,990	0,991	0,000	False
  114	1584	1586	0,990	0,991	0,000	False
  115	1584	1586	0,990	0,991	0,000	False
  116	1585	1587	0,991	0,992	0,000	False
  117	1586	1587	0,991	0,992	0,000	False
  118	1586	1588	0,991	0,993	0,000	False
  119	1586	1589	0,991	0,993	0,000	False
  120	1586	1589	0,991	0,993	0,000	False
  121	1587	1590	0,992	0,994	0,000	False
  122	1587	1592	0,992	0,995	0,000	False
  123	1588	1593	0,993	0,996	0,000	False
  124	1588	1593	0,993	0,996	0,000	False
  125	1588	1594	0,993	0,996	0,000	False
  126	1590	1594	0,994	0,996	0,000	False
  127	1590	1595	0,994	0,997	0,000	False
  128	1590	1595	0,994	0,997	0,000	False
  129	1590	1596	0,994	0,998	0,000	False
  130	1590	1596	0,994	0,998	0,000	False
  131	1591	1596	0,994	0,998	0,000	False
  132	1591	1596	0,994	0,998	0,000	False
