Class 2 (Closest class: 0)
Radius	k1	k2	Reliability	Beta Error	Jm	Optimal
--------------------------------------------------------------------------------
    1	   6	   0	0,004	0,000	0,000	False
    2	  22	   0	0,014	0,000	0,001	False
    3	  42	   0	0,026	0,000	0,002	False
    4	  87	   0	0,054	0,000	0,009	False
    5	 144	   0	0,090	0,000	0,023	False
    6	 224	   0	0,140	0,000	0,057	False
    7	 319	   0	0,199	0,000	0,116	False
    8	 428	   0	0,268	0,000	0,211	False
    9	 537	   0	0,336	0,000	0,338	False
   10	 647	   0	0,404	0,000	0,500	False
   11	 742	   0	0,464	0,000	0,671	False
   12	 855	   0	0,534	0,000	0,918	True
   13	 955	   0	0,597	0,000	1,184	True
   14	1043	   0	0,652	0,000	1,462	True
   15	1109	   0	0,693	0,000	1,705	True
   16	1177	   0	0,736	0,000	1,994	True
   17	1233	   0	0,771	0,000	2,268	True
   18	1292	   0	0,807	0,000	2,604	True
   19	1335	   0	0,834	0,000	2,888	True
   20	1369	   0	0,856	0,000	3,144	True
   21	1402	   0	0,876	0,000	3,427	True
   22	1425	   1	0,891	0,001	3,641	True
   23	1448	   1	0,905	0,001	3,890	True
   24	1471	   1	0,919	0,001	4,175	True
   25	1479	   1	0,924	0,001	4,285	True
   26	1490	   2	0,931	0,001	4,432	True
   27	1505	   2	0,941	0,001	4,675	True
   28	1520	   3	0,950	0,002	4,934	True
   29	1529	   4	0,956	0,003	5,100	True
   30	1538	   5	0,961	0,003	5,283	True
   31	1544	   6	0,965	0,004	5,407	True
   32	1551	   6	0,969	0,004	5,598	True
   33	1559	   6	0,974	0,004	5,844	True
   34	1566	   8	0,979	0,005	6,017	True
   35	1571	  11	0,982	0,007	6,092	True
   36	1574	  11	0,984	0,007	6,210	True
   37	1578	  13	0,986	0,008	6,294	True
   38	1585	  20	0,991	0,013	6,294	True
   39	1588	  30	0,993	0,019	6,017	True
   40	1590	  37	0,994	0,023	5,844	True
   41	1591	  44	0,994	0,028	5,656	True
   42	1592	  51	0,995	0,032	5,486	True
   43	1593	  55	0,996	0,034	5,407	True
   44	1593	  65	0,996	0,041	5,167	True
   45	1593	  79	0,996	0,049	4,875	True
   46	1593	 100	0,996	0,062	4,509	True
   47	1593	 137	0,996	0,086	3,997	True
   48	1594	 174	0,996	0,109	3,600	True
   49	1595	 213	0,997	0,133	3,251	True
   50	1595	 261	0,997	0,163	2,881	True
   51	1595	 305	0,997	0,191	2,591	True
   52	1596	 366	0,998	0,229	2,252	True
   53	1596	 437	0,998	0,273	1,913	True
   54	1598	 526	0,999	0,329	1,565	True
   55	1599	 614	0,999	0,384	1,274	True
   56	1599	 711	0,999	0,444	1,001	True
   57	1600	 808	1,000	0,505	0,774	False
   58	1600	 897	1,000	0,561	0,597	False
   59	1600	 970	1,000	0,606	0,472	False
   60	1600	1041	1,000	0,651	0,367	False
