Class 0 (Closest class: 2)
Radius	k1	k2	Reliability	Beta Error	Jm	Optimal
--------------------------------------------------------------------------------
    1	   5	   0	0,003	0,000	0,000	False
    2	  15	   0	0,009	0,000	0,000	False
    3	  48	   0	0,030	0,000	0,003	False
    4	  98	   0	0,061	0,000	0,011	False
    5	 160	   0	0,100	0,000	0,029	False
    6	 249	   0	0,156	0,000	0,070	False
    7	 349	   0	0,218	0,000	0,139	False
    8	 448	   0	0,280	0,000	0,232	False
    9	 563	   0	0,352	0,000	0,373	False
   10	 682	   0	0,426	0,000	0,559	False
   11	 789	   0	0,493	0,000	0,768	False
   12	 866	   0	0,541	0,000	0,945	True
   13	 953	   0	0,596	0,000	1,178	True
   14	1020	   0	0,637	0,000	1,385	True
   15	1082	   0	0,676	0,000	1,602	True
   16	1122	   0	0,701	0,000	1,757	True
   17	1170	   0	0,731	0,000	1,962	True
   18	1218	   1	0,761	0,001	2,186	True
   19	1247	   1	0,779	0,001	2,337	True
   20	1270	   1	0,794	0,001	2,466	True
   21	1296	   2	0,810	0,001	2,616	True
   22	1326	   3	0,829	0,002	2,805	True
   23	1337	   4	0,836	0,003	2,874	True
   24	1355	   4	0,847	0,003	3,005	True
   25	1373	   6	0,858	0,004	3,128	True
   26	1381	   8	0,863	0,005	3,177	True
   27	1392	   9	0,870	0,006	3,260	True
   28	1402	   9	0,876	0,006	3,346	True
   29	1417	  11	0,886	0,007	3,465	True
   30	1422	  12	0,889	0,007	3,502	True
   31	1437	  13	0,898	0,008	3,641	True
   32	1446	  13	0,904	0,008	3,735	True
   33	1460	  15	0,912	0,009	3,867	True
   34	1467	  16	0,917	0,010	3,937	True
   35	1473	  21	0,921	0,013	3,949	True
   36	1482	  26	0,926	0,016	3,997	True
   37	1488	  33	0,930	0,021	3,985	True
   38	1493	  42	0,933	0,026	3,937	True
   39	1497	  54	0,936	0,034	3,845	True
   40	1508	  64	0,943	0,040	3,856	True
   41	1516	  83	0,948	0,052	3,735	True
   42	1520	 109	0,950	0,068	3,512	True
   43	1527	 137	0,954	0,086	3,320	True
   44	1531	 172	0,957	0,107	3,066	True
   45	1535	 212	0,959	0,133	2,805	True
   46	1538	 256	0,961	0,160	2,543	True
   47	1541	 309	0,963	0,193	2,263	True
   48	1542	 368	0,964	0,230	1,980	True
   49	1543	 439	0,964	0,274	1,686	True
   50	1543	 506	0,964	0,316	1,442	True
   51	1548	 585	0,968	0,366	1,207	True
   52	1550	 660	0,969	0,412	1,006	True
   53	1553	 751	0,971	0,469	0,796	True
   54	1554	 815	0,971	0,509	0,665	False
   55	1556	 897	0,973	0,561	0,520	False
   56	1556	 965	0,973	0,603	0,413	False
   57	1559	1045	0,974	0,653	0,308	False
   58	1559	1107	0,974	0,692	0,236	False
   59	1560	1167	0,975	0,729	0,178	False
   60	1563	1222	0,977	0,764	0,133	False
