Class 3 (Closest class: 5)
Radius	k1	k2	Reliability	Beta Error	Jm	Optimal
--------------------------------------------------------------------------------
    1	   8	   0	0,005	0,000	0,000	False
    2	  40	   0	0,025	0,000	0,002	False
    3	  90	   0	0,056	0,000	0,009	False
    4	 169	   0	0,106	0,000	0,032	False
    5	 262	   0	0,164	0,000	0,078	False
    6	 396	   0	0,247	0,000	0,180	False
    7	 533	   0	0,333	0,000	0,333	False
    8	 672	   0	0,420	0,000	0,542	False
    9	 786	   1	0,491	0,001	0,759	False
   10	 900	   1	0,562	0,001	1,029	True
   11	1016	   1	0,635	0,001	1,369	True
   12	1101	   2	0,688	0,001	1,666	True
   13	1178	   2	0,736	0,001	1,989	True
   14	1245	   2	0,778	0,001	2,321	True
   15	1299	   2	0,812	0,001	2,635	True
   16	1357	   2	0,848	0,001	3,035	True
   17	1405	   2	0,878	0,001	3,437	True
   18	1436	   2	0,897	0,001	3,745	True
   19	1463	   2	0,914	0,001	4,059	True
   20	1489	   2	0,931	0,001	4,417	True
   21	1506	   4	0,941	0,003	4,658	True
   22	1520	   5	0,950	0,003	4,895	True
   23	1532	   6	0,958	0,004	5,122	True
   24	1545	   8	0,966	0,005	5,382	True
   25	1559	   9	0,974	0,006	5,747	True
   26	1565	  11	0,978	0,007	5,877	True
   27	1568	  12	0,980	0,007	5,946	True
   28	1571	  13	0,982	0,008	6,017	True
   29	1575	  16	0,984	0,010	6,054	True
   30	1582	  18	0,989	0,011	6,252	True
   31	1584	  25	0,990	0,016	6,054	True
   32	1586	  31	0,991	0,019	5,911	True
   33	1587	  41	0,992	0,026	5,626	True
   34	1588	  59	0,993	0,037	5,189	True
   35	1589	  82	0,993	0,051	4,745	True
   36	1591	 108	0,994	0,068	4,357	True
   37	1592	 133	0,995	0,083	4,034	True
   38	1592	 151	0,995	0,094	3,822	True
   39	1592	 182	0,995	0,114	3,502	True
   40	1593	 218	0,996	0,136	3,193	True
   41	1594	 255	0,996	0,159	2,917	True
   42	1596	 294	0,998	0,184	2,666	True
   43	1596	 330	0,998	0,206	2,449	True
   44	1596	 367	0,998	0,229	2,247	True
   45	1596	 414	0,998	0,259	2,017	True
   46	1596	 445	0,998	0,278	1,878	True
   47	1597	 481	0,998	0,301	1,733	True
   48	1597	 525	0,998	0,328	1,565	True
   49	1597	 562	0,998	0,351	1,435	True
   50	1597	 600	0,998	0,375	1,311	True
   51	1598	 652	0,999	0,407	1,158	True
   52	1598	 689	0,999	0,431	1,056	True
   53	1599	 725	0,999	0,453	0,965	True
   54	1600	 766	1,000	0,479	0,868	True
   55	1600	 798	1,000	0,499	0,796	True
   56	1600	 832	1,000	0,520	0,723	False
   57	1600	 873	1,000	0,546	0,642	False
   58	1600	 910	1,000	0,569	0,574	False
   59	1600	 951	1,000	0,594	0,503	False
   60	1600	 987	1,000	0,617	0,446	False
   61	1600	1018	1,000	0,636	0,400	False
   62	1600	1050	1,000	0,656	0,355	False
   63	1600	1082	1,000	0,676	0,313	False
   64	1600	1120	1,000	0,700	0,268	False
   65	1600	1151	1,000	0,719	0,233	False
   66	1600	1179	1,000	0,737	0,204	False
   67	1600	1201	1,000	0,751	0,183	False
   68	1600	1238	1,000	0,774	0,150	False
   69	1600	1261	1,000	0,788	0,131	False
   70	1600	1285	1,000	0,803	0,113	False
   71	1600	1306	1,000	0,816	0,098	False
   72	1600	1326	1,000	0,829	0,085	False
   73	1600	1341	1,000	0,838	0,076	False
   74	1600	1354	1,000	0,846	0,069	False
   75	1600	1369	1,000	0,856	0,061	False
   76	1600	1376	1,000	0,860	0,057	False
   77	1600	1389	1,000	0,868	0,050	False
   78	1600	1403	1,000	0,877	0,044	False
   79	1600	1413	1,000	0,883	0,040	False
   80	1600	1420	1,000	0,887	0,037	False
   81	1600	1435	1,000	0,897	0,031	False
   82	1600	1445	1,000	0,903	0,027	False
   83	1600	1454	1,000	0,909	0,024	False
   84	1600	1465	1,000	0,916	0,021	False
   85	1600	1474	1,000	0,921	0,018	False
   86	1600	1484	1,000	0,927	0,015	False
   87	1600	1495	1,000	0,934	0,012	False
   88	1600	1502	1,000	0,939	0,011	False
   89	1600	1504	1,000	0,940	0,010	False
   90	1600	1514	1,000	0,946	0,008	False
   91	1600	1521	1,000	0,951	0,007	False
   92	1600	1529	1,000	0,956	0,006	False
   93	1600	1533	1,000	0,958	0,005	False
   94	1600	1538	1,000	0,961	0,004	False
   95	1600	1541	1,000	0,963	0,004	False
   96	1600	1550	1,000	0,969	0,003	False
   97	1600	1555	1,000	0,972	0,002	False
   98	1600	1556	1,000	0,973	0,002	False
   99	1600	1558	1,000	0,974	0,002	False
  100	1600	1562	1,000	0,976	0,002	False
  101	1600	1572	1,000	0,983	0,001	False
  102	1600	1575	1,000	0,984	0,001	False
  103	1600	1577	1,000	0,986	0,001	False
  104	1600	1580	1,000	0,988	0,000	False
  105	1600	1582	1,000	0,989	0,000	False
  106	1600	1584	1,000	0,990	0,000	False
  107	1600	1586	1,000	0,991	0,000	False
  108	1600	1586	1,000	0,991	0,000	False
  109	1600	1588	1,000	0,993	0,000	False
  110	1600	1589	1,000	0,993	0,000	False
  111	1600	1590	1,000	0,994	0,000	False
  112	1600	1590	1,000	0,994	0,000	False
  113	1600	1592	1,000	0,995	0,000	False
  114	1600	1593	1,000	0,996	0,000	False
  115	1600	1594	1,000	0,996	0,000	False
  116	1600	1594	1,000	0,996	0,000	False
  117	1600	1595	1,000	0,997	0,000	False
  118	1600	1595	1,000	0,997	0,000	False
  119	1600	1595	1,000	0,997	0,000	False
  120	1600	1595	1,000	0,997	0,000	False
  121	1600	1595	1,000	0,997	0,000	False
  122	1600	1595	1,000	0,997	0,000	False
  123	1600	1597	1,000	0,998	0,000	False
  124	1600	1599	1,000	0,999	0,000	False
  125	1600	1599	1,000	0,999	0,000	False
  126	1600	1599	1,000	0,999	0,000	False
  127	1600	1599	1,000	0,999	0,000	False
  128	1600	1599	1,000	0,999	0,000	False
  129	1600	1599	1,000	0,999	0,000	False
  130	1600	1599	1,000	0,999	0,000	False
  131	1600	1599	1,000	0,999	0,000	False
  132	1600	1599	1,000	0,999	0,000	False
  133	1600	1599	1,000	0,999	0,000	False
  134	1600	1599	1,000	0,999	0,000	False
  135	1600	1599	1,000	0,999	0,000	False
  136	1600	1599	1,000	0,999	0,000	False
  137	1600	1599	1,000	0,999	0,000	False
  138	1600	1599	1,000	0,999	0,000	False
  139	1600	1599	1,000	0,999	0,000	False
  140	1600	1599	1,000	0,999	0,000	False
  141	1600	1599	1,000	0,999	0,000	False
  142	1600	1600	1,000	1,000	0,000	False
  143	1600	1600	1,000	1,000	0,000	False
  144	1600	1600	1,000	1,000	0,000	False
  145	1600	1600	1,000	1,000	0,000	False
  146	1600	1600	1,000	1,000	0,000	False
  147	1600	1600	1,000	1,000	0,000	False
  148	1600	1600	1,000	1,000	0,000	False
  149	1600	1600	1,000	1,000	0,000	False
  150	1600	1600	1,000	1,000	0,000	False
  151	1600	1600	1,000	1,000	0,000	False
  152	1600	1600	1,000	1,000	0,000	False
  153	1600	1600	1,000	1,000	0,000	False
  154	1600	1600	1,000	1,000	0,000	False
  155	1600	1600	1,000	1,000	0,000	False
  156	1600	1600	1,000	1,000	0,000	False
  157	1600	1600	1,000	1,000	0,000	False
  158	1600	1600	1,000	1,000	0,000	False
  159	1600	1600	1,000	1,000	0,000	False
